residue,avg_peak
1,23665433.6978
3,23428604.8717
5,17114927.3106
7,43004210.3934
9,43945599.2918
11,23093727.1953
13,17462073.2076
15,46082855.5181
17,22416916.4001
19,42681311.2301
21,15703632.9874
23,23785198.9340
25,22766171.1972
27,244644943.1264
29,21423613.6439
31,125562494.6178
33,42727820.3918
35,17232453.9017
37,22243841.5787
39,122260071.5409
41,140647652.9382
43,44840885.8620
45,22548391.4328
47,130992684.6761
49,18055102.6298
51,23720891.4844
53,17343036.2608
55,43456951.8149
57,301938095.2496
59,172571559.5482
61,40849764.5094
63,489743076.5554
