residue,count,avg_stopping_time,max_stopping_time,avg_v2
1,156250,154.258,591,2
3,156250,154.354,565,1
5,156250,141.891,454,4
7,156250,166.86,595,1
9,156250,166.673,609,2
11,156250,154.476,539,1
13,156250,141.95,529,3
15,156250,166.526,596,1
17,156250,154.3,529,2
19,156250,166.599,586,1
21,156250,129.59,454,7.00002
23,156250,154.536,565,1
25,156250,154.328,536,2
27,156250,178.824,611,1
29,156250,154.102,525,3
31,156250,178.943,661,1
33,156250,166.718,588,2
35,156250,141.928,513,1
37,156250,154.222,560,4
39,156250,178.767,606,1
41,156250,178.998,666,2
43,156250,166.894,593,1
45,156250,154.248,529,3
47,156250,178.836,614,1
49,156250,141.959,534,2
51,156250,154.272,542,1
53,156250,141.97,472,5
55,156250,166.268,573,1
57,156250,166.544,614,2
59,156250,166.337,575,1
61,156250,166.675,557,3
63,156250,191.791,684,1
